Dates,FXY,FXE,FXC,FXF,FXB,FXA,FXS
11/14/2013,97.73,133.13,94.97,106.99,158.39,93.28,149.58
11/15/2013,97.5,133.42,95.2,107.12,158.9,93.8,150.09
11/18/2013,97.83,133.54,95.31,107.3199,158.8,93.81,150.3
11/19/2013,97.54,133.91,94.98,107.61,159,94.35,150.06
11/20/2013,97.76,132.82,95.19,106.96,158.79,93.47,149.5201
11/21/2013,96.69,133.2,94.5,107.1399,159.48,92.31,149.6
11/22/2013,96.42,133.98,94.48,107.97,159.9,91.74,151.2299
11/25/2013,96.27,133.7,94.26,107.4999,159.26,91.74,151.55
11/26/2013,96.47,134.17,94.3999,108.08,159.83,91.42,151.42
11/27/2013,95.64,134.2,93.85,107.95,160.48,90.91,151.44
11/29/2013,95.34,134.33,93.59,108.07,161.3,91.14,152.16
12/2/2013,94.92,133.88,93.41,107.83,161.23,91.06,151.7801
12/3/2013,95.39,134.36,93.36,108.502,161.56,91.41,152.77
12/4/2013,95.52,134.33,93.12,108.55,161.49,90.34,152.95
12/5/2013,96.06,135.16,93.44,109.25,161.04,90.71,153.4099
12/6/2013,94.99,135.49,93.3,109.77,161.11,91.06,152.81
12/9/2013,94.57,135.84,93.49,110.06,161.95,91.11,152.22
12/10/2013,95.08,136.13,93.77,110.4253,162.15,91.6,152.36
12/11/2013,95.39,136.31,93.86,110.5272,161.46,90.55,152.12
12/12/2013,94.58,135.99,93.44,110.14,161.18,89.34,150.5
12/13/2013,94.64,135.83,93.83,110.06,160.65,89.66,151.04
12/16/2013,94.85,136.1,93.91,110.4201,160.72,89.51,151.34
12/17/2013,95.19,136.08,93.711,110.76,160.31,89.08,151.34
12/18/2013,93.89,135.4,93.01,109.65,161.58,88.56,150.92
12/19/2013,93.72,135.02,93.22,109.05,161.38,88.68,150.09
12/20/2013,93.87,135.24,93.37,109.39,161.1,89.34,151.1499
12/23/2013,93.87,135.39,93.7,109.59,161.21,89.45,151.38
12/24/2013,93.8,135.28,93.59,109.2964,161.4,89.35,151.36
12/26/2013,93.26,135.37,93.43,109.25,161.79,89.08,151.51
12/27/2013,92.88,135.82,92.88,109.81,162.32,88.79,152.77
12/30/2013,92.98,136.4,93.47,110.34,162.67,89.2,155.13
12/31/2013,92.76,135.99,93.61,109.82,163.3,89.43,154.56
1/2/2014,93.25,135.09,93.14,108.82,162.03,89.09,154.53
1/3/2014,93.22,134.25,93.44,108.16,161.7,89.38,152.25
1/6/2014,93.78,134.79,93.34,108.36,161.6201,89.7,152.92
1/7/2014,93.42,134.58,92.29,107.7,161.69,89.2,152.59
1/8/2014,93.25,134.26,92.02,107.56,162.15,89.17,150.9601
1/9/2014,93.21,134.46,91.61,108,162.42,88.99,151.722
1/10/2014,93.89,135.08,91.2,108.49,162.44,90.01,151.722
1/13/2014,94.91,135.16,91.68,108.85,161.58,90.67,152.66
1/14/2014,93.74,135.23,90.81,108.55,162.05,89.62,154.4668
1/15/2014,93.37,134.44,90.83,107.78,161.34,89.13,153.65
1/16/2014,93.65,134.62,91.01,108.23,161.2,88.27,153.62
1/17/2014,93.69,133.67,90.59,107.47,161.7,87.77,153.48
1/21/2014,93.57,134,90.62,107.57,162.31,88.14,153.49
1/22/2014,93.47,133.9,89.67,107.43,163.37,88.57,153.36
1/23/2014,94.68,135.36,89.59,109.1,163.86,87.74,155.3397
1/24/2014,95.52,135.17,89.8,109.468,162.58,87.05,154.2932
1/27/2014,95.16,135.14,89.46,109.21,163.38,87.59,154.39
1/28/2014,94.98,135.11,89.12,109.102,163.38,87.84,154.72
1/29/2014,95.56,134.96,88.98,109.36,163.09,87.45,153.9844
1/30/2014,95.03,133.89,89.05,108.36,162.34,87.97,152.45
1/31/2014,95.58,133.29,89.27,108,161.95,87.62,151.98
2/3/2014,96.7,133.68,89.6,108.66,160.66,87.51,151.91
2/4/2014,96.04,133.56,89.76,108.298,160.86,89.33,152.33
2/5/2014,96.3,133.79,89.73,108.38,160.71,89.14,152.55
2/6/2014,95.6,134.3,89.82,108.7396,160.87,89.62,153.04
2/7/2014,95.47,134.75,90.08,109.116,161.7384,89.62,153.1106
2/10/2014,95.54,134.82,89.94,109.22,161.63,89.51,153.302
2/11/2014,95.12,134.78,90.28,109,162.07,90.41,154.42
2/12/2014,95.27,134.29,90.43,108.7557,163.45,90.32,154.25
2/13/2014,95.5,135.16,90.58,109.56,164.09,89.935,153.93
2/14/2014,95.91,135.33,90.53,109.78,164.98,90.42,154.398
2/18/2014,95.38,135.92,90.83,110.22,164.28,90.37,153.29
2/19/2014,95.5,135.68,89.72,110.26,164.35,90.05,152.7
2/20/2014,95.45,135.55,89.6,110.11,164.08,90.21,152.25
2/21/2014,95.17,135.71,89.32,110.28,163.9,89.77,152.25
2/24/2014,95.27,135.66,89.87,110.11,164.0722,90.44,153.015
2/25/2014,95.55,135.73,89.7,110.31,164.18,90.22,153.06
2/26/2014,95.34,135.19,89.35,109.893,164.16,89.76,152.52
2/27/2014,95.59,135.42,89.28,110.18,164.38,89.7,152.66
2/28/2014,95.92,136.35,89.8,111.33,164.94,89.34,155.16
3/3/2014,96.3,135.63,89.73,110.79,164.08,89.29,155.15
3/4/2014,95.45,135.72,89.59,110.29,164.19,89.5,155.15
3/5/2014,95.44,135.62,90.08,110.25,164.67,89.86,155.15
3/6/2014,94.74,136.89,90.47,111.174,164.87,90.9,155.71
3/7/2014,94.47,137.03,89.65,111.55,164.74,90.72,155.7116
3/10/2014,94.56,137.01,89.56,111.464,163.9,90.23,155.95
3/11/2014,94.77,136.89,89.56,111.49,163.68,89.69,156.31
3/12/2014,95.04,137.4,89.44,112.04,163.6996,89.96,156.2632
3/13/2014,96.07,136.9,89.95,111.85,163.65,90.3,155.7999
3/14/2014,96.36,137.38,89.61,112.22,163.86,90.34,155.97
3/17/2014,95.94,137.54,89.96,112.12,163.82,90.93,156.76
3/18/2014,96.26,137.63,89.29,112.11,163.39,91.3,156.92
3/19/2014,95.22,136.63,88.41,111.0736,162.81,90.49,156.43
3/20/2014,95.27,136.06,88.44,110.76,162.51,90.46,155.23
3/21/2014,95.56,136.26,88.71,110.9901,162.43,90.95,154.8
3/24/2014,95.51,136.67,88.81,111.16,162.49,91.38,155.42
3/25/2014,95.43,136.57,89.13,110.8827,162.76,91.75,155.35
3/26/2014,95.69,136.26,89.73,110.69,163.39,92.43,153.9901
3/27/2014,95.52,135.71,90.16,110.39,163.58,92.72,153.5116
3/28/2014,94.9,135.83,89.91,110.366,163.9,92.64,152.88
3/31/2014,94.53,136.03,89.98,110.71,164.17,92.87,153.6
4/1/2014,94.1,136.23,90.13,110.81,163.81,92.51,154.1857
4/2/2014,93.97,135.94,90.1,110.3501,163.69,92.44,154.1857
4/3/2014,93.9,135.41,90.11,109.8,163.37,92.33,152.08
4/4/2014,94.52,135.31,90.57,109.76,163.24,92.9,151.88
4/7/2014,94.67,135.71,90.64,110.29,163.55,92.71,152.37
4/8/2014,95.95,136.23,91.04,110.81,164.88,93.6,153.122
4/9/2014,95.72,136.84,91.464,111.2921,165.31,93.93,153.48
4/10/2014,96.2,137.09,90.99,111.7,165.2,94.17,152.26
4/11/2014,96,137.06,90.59,111.78,164.77,94,152.31
4/14/2014,95.86,136.42,90.79,111.2401,164.76,94.28,151.7
4/15/2014,95.79,136.35,90.6,111.13,164.66,93.61,151.31
4/16/2014,95.35,136.41,90.24,110.9936,165.4,93.82,150.85
4/17/2014,95.28,136.4,90.3,110.76,165.29,93.35,150.65
4/21/2014,95.06,136.19,90.27,110.54,165.34,93.37,150.358
4/22/2014,95.06,136.27,90.18,110.56,165.66,93.75,151.19
4/23/2014,95.22,136.42,90.16,110.8,165.186,93,151.33
4/24/2014,95.35,136.5,90.2,110.93,165.4,92.704,151.2062
4/25/2014,95.52,136.57,90.14,111.04,165.39,92.84,151.2062
4/28/2014,95.14,136.74,90.21,111.13,165.48,92.73,151.98
4/29/2014,95.1,136.36,90.8,110.73,165.62,92.84,151.98
4/30/2014,95.44,136.94,90.7599,111.19,166.17,93.04,152.92
5/1/2014,95.34,136.89,90.72,111.262,166.26,92.7,153.07
5/2/2014,95.44,136.95,90.55,111.39,166.105,92.72,152.7
5/5/2014,95.49,137,90.79,111.49,166.05,92.74,151.8
5/6/2014,96.04,137.52,91.41,111.92,167.14,93.57,153.13
5/7/2014,95.72,137.37,91.29,111.65,166.9,93.36,153.05
5/8/2014,96.06,136.7,91.89,111.25,166.72,93.81,152.72
5/9/2014,95.8,135.81,91.26,110.35,165.784,93.62,151.35
5/12/2014,95.49,135.81,91.26,110.17,166.03,93.69,151.85
5/13/2014,95.35,135.28,91.17,109.88,165.62,93.6,151.81
5/14/2014,95.76,135.35,91.38,109.92,165.08,93.82,151.6
5/15/2014,96.02,135.33,91.42,109.881,165.3,93.62,151.43
5/16/2014,96.05,135.23,91.58,109.67,165.56,93.71,151.58
5/19/2014,96.18,135.32,91.52,109.65,165.54,93.38,150.99
5/20/2014,96.32,135.25,91.23,109.69,165.75,92.64,151.0203
5/21/2014,96.18,135.12,91.1,109.51,166.33,92.49,151.09
5/22/2014,95.85,134.8,91.27,109.362,165.99,92.35,150.88
5/23/2014,95.64,134.54,91.48,109.21,165.57,92.44,149.63
5/27/2014,95.61,134.56,91.58,109.0996,165.39,92.72,150.18
5/28/2014,95.74,134.18,91.44,108.88,164.48,92.47,149.7
5/29/2014,95.84,134.29,91.79,108.95,164.54,93.17,149.66
5/30/2014,95.79,134.52,91.73,109.24,164.94,93.18,148.62
6/2/2014,95.21,134.2,91.25,108.84,164.83,92.48,148.58
6/3/2014,95.09,134.46,91.12,109.05,164.82,92.62,148.7664
6/4/2014,94.91,134.23,90.92,108.99,164.75,92.79,149.312
6/5/2014,95.22,134.81,90.99,109.63,165.42,93.39,149.11
6/6/2014,95.08,134.65,90.98,109.5,165.41,93.33,149.95
6/9/2014,95.11,134.11,91.16,108.99,165.33,93.56,148.67
6/10/2014,95.26,133.67,91.2,108.79,164.8899,93.77,148.55
6/11/2014,95.54,133.49,91.52,108.64,165.3,93.87,148.55
6/12/2014,95.91,133.88,91.6,108.91,165.66,94.27,148.59
6/13/2014,95.61,133.59,91.61,108.61,166.98,94.06,#N/A N/A
6/16/2014,95.7499,133.94,91.72,108.95,167.09,94.07,150.1
6/17/2014,95.48,133.63,91.55,108.6868,166.91,93.44,149.7569
6/18/2014,95.61,134.07,91.69,109.047,167.15,94.02,149.6
6/19/2014,95.62,134.26,91.88,109.32,167.64,94.0696,148.65
6/20/2014,95.48,134.15,92.5,109.17,167.48,93.99,147.5
6/23/2014,95.68,134.22,92.72,109.35,167.55,94.28,148.53
6/24/2014,95.67,134.24,92.56,109.35,167.1,93.86,147.9302
6/25/2014,95.7089,134.5,92.75,109.51,167.07,94.1,147.666
6/26/2014,95.87,134.32,93,109.4199,167.54,94.21,147.41
6/27/2014,96.14,134.64,93.27,109.7,167.65,94.35,147.588
6/30/2014,96.25,135.12,93.2,110.24,168.38,94.42,148.6
7/1/2014,96,134.98,93.61,110.14,168.75,94.96,148.4483
7/2/2014,95.77,134.74,93.2,109.9501,168.8809,94.42,148.264
7/3/2014,95.35,134.25,93.59,109.35,168.72,93.58,145.85
7/7/2014,95.7,134.25,93.15,109.47,168.56,93.78,145.6
7/8/2014,96.01,134.29,93.1122,109.49,168.55,94.06,145.6
7/9/2014,95.94,134.58,93.28,109.73,168.79,94.1876,145.6
7/10/2014,96.2,134.29,93.39,109.56,168.6,94.02,146.638
7/11/2014,96.16,134.24,92.6431,109.57,168.3726,93.97,146.57
7/14/2014,95.96,134.34,92.79,109.6499,168.02,94.01,146.26
7/15/2014,95.85,133.82,92.43,109.09,168.6504,93.79,145.887
7/16/2014,95.83,133.43,92.53,108.79,168.57,93.73,145.67
7/17/2014,96.31,133.44,92.42,108.93,168.2501,93.63,145.9
7/18/2014,96.15,133.44,92.65,108.8265,168.08,94,145.47
7/21/2014,96.14,133.38,92.67,108.86,167.98,93.86,145.12
7/22/2014,96.05,132.84,92.61,108.36,167.84,94.03,145.11
7/23/2014,95.99,132.78,92.69,108.32,167.58,94.66,145.57
7/24/2014,95.75,132.79,92.53,108.3,167.11,94.32,145.65
7/25/2014,95.73,132.5,91.96,108.04,166.99,94.07,145.9
7/28/2014,95.66,132.5,92.07,108.09,167.02,94.21,145.45
7/29/2014,95.47,132.29,91.58,107.74,166.65,93.97,145.25
7/30/2014,94.71,132.1,91.22,107.51,166.31,93.41,144.25
7/31/2014,94.71,132.09,91.22,107.56,166.05,93.08,144.2
8/1/2014,95,132.38,90.98,107.85,165.37,93.1114,144.94
8/4/2014,95.02,132.4,91.15,107.7976,165.82,93.35,144.4401
8/5/2014,95.01,131.94,90.71,107.48,165.987,93.08,144.47
8/6/2014,95.51,131.95,91.11,107.6701,165.72,93.5,144.01
8/7/2014,95.53,131.83,91.05,107.54,165.6,92.85,143.91
8/8/2014,95.44,132.27,90.63,107.96,165.01,92.8,144.23
8/11/2014,95.36,132.03,91.05,107.8,165.12,92.68,144.65
8/12/2014,95.32,131.84,91.03,107.66,165.34,92.79,144.49
8/13/2014,95.15,131.79,91.0801,107.67,164.16,93.09,145.01
8/14/2014,95.13,131.86,91.19,107.81,164.15,93.26,145.28
8/15/2014,95.23,132.11,91.3,108.24,164.24,93.33,145.265
8/18/2014,95.03,131.79,91.36,107.78,164.54,93.34,145.265
8/19/2014,94.68,131.38,90.86,107.52,163.43,93.15,144.58
8/20/2014,93.89,130.78,90.6501,106.96,163.16,92.95,144.58
8/21/2014,93.84,130.94,90.85,107.23,163.08,93.08,144.58
8/22/2014,93.72,130.6,90.85,107.03,162.96,93.19,143.79
8/25/2014,93.67,130.09,90.55,106.775,163.04,93.1,143.31
8/26/2014,93.62,129.86,90.79,106.5,162.7,93.16,143.032
8/27/2014,93.77,130.12,91.6,106.83,163.0199,93.47,143.2
8/28/2014,93.95,130.01,91.68,106.78,163.02,93.69,143.2
8/29/2014,93.61,129.54,91.47,106.4201,163.23,93.4999,142.25
9/2/2014,92.63,129.44,90.96,106.28,161.94,92.79,141.72
9/3/2014,93.01,129.64,91.31,106.42,161.83,93.46,141.72
9/4/2014,92.58,127.66,91.43,104.86,160.73,93.55,140.89
9/5/2014,92.71,127.7,91.38,104.87,160.54,93.81,140.19
9/8/2014,91.92,127.2,90.61,104.46,158.37,92.87,139.82
9/9/2014,91.84,127.67,90.63,104.85,158.53,92.1,139.612
9/10/2014,91.19,127.35,90.93,104.27,159.39,91.65,139.738
9/11/2014,90.91,127.35,90,104.3699,159.48,90.95,139.5401
9/12/2014,90.72,127.65,89.62,104.58,159.85,90.47,139.28
9/15/2014,90.87,127.58,89.98,104.45,159.62,90.32,139.57
9/16/2014,90.88,127.74,90.66,104.73,160.03,91,139.57
9/17/2014,89.97,126.89,90.36,103.84,160.06,89.77,138.91
9/18/2014,89.56,127.36,90.83,104.57,161.01,89.93,139.322
9/19/2014,89.41,126.54,90.84,103.87,160.23,89.4,139.322
9/22/2014,89.56,126.69,90.13,103.89,160.87,88.32,138.9
9/23/2014,89.44,126.76,89.83,104.01,161.19,88.57,139.2
9/24/2014,89.29,126,89.92,103.39,160.61,88.91,138.43
9/25/2014,89.63,125.65,89.53,103.14,160.3917,87.96,137.665
9/26/2014,89.12,125,89.14,102.6535,159.68,87.78,137.665
9/29/2014,88.97,125.1,89.15,102.68,159.69,87.38,137.14
9/30/2014,88.8,124.48,88.79,102.26,159.331,87.6799,137.78
10/1/2014,89.34,124.38,89.01,102.06,159.03,87.3,137.55
10/2/2014,89.8,124.85,89.1,102.37,158.63,88.01,137.92
10/3/2014,88.68,123.33,88.32,100.9599,157,86.75,136.62
10/6/2014,89.49,124.65,89.32,101.915,158.0496,87.6,138.47
10/7/2014,90.17,124.82,89.03,102.11,158.21,88.19,138.1334
10/8/2014,90.07,125.58,89.55,102.6,158.93,88.5,138.52
10/9/2014,90.26,125.06,89.03,102.28,158.37,87.84,137.64
10/10/2014,90.39,124.31,88.67,101.87,157.732,86.9116,137.55
10/13/2014,90.97,125.09,88.75,102.5003,157.97,87.67,138.41
10/14/2014,91,124.76,87.94,102.33,156.31,87.13,136.881
10/15/2014,91.83,126.18,88.35,103.48,157.04,88.21,137.96
10/16/2014,91.54,126.17,88.39,103.54,158.21,87.63,137.969
10/17/2014,91.07,125.73,88.14,103.18,158.15,87.73,138.51
10/20/2014,91.15,126.16,88.16,103.59,158.96,88.02,138.38
10/21/2014,91.11,125.31,88.58,102.88,158.41,87.88,137.36
10/22/2014,90.89,124.62,88.46,102.38,157.77,87.83,137.36
10/23/2014,90.01,124.65,88.55,102.37,157.49,87.63,136.92
10/24/2014,90.04,124.81,88.56,102.574,158.13,88.06,137.21
10/27/2014,90.33,125.19,88.49,102.8901,158.48,88.14,136.42
10/28/2014,90.05,125.51,89.02,103.1101,158.6,88.71,135.5801
10/29/2014,89.42,124.52,88.87,102.34,157.32,88.11,134.9
10/30/2014,89.09,124.17,88.92,102.129,157.57,88.43,135.2
10/31/2014,86.65,123.49,88.24,101.45,157.2,88.15,134.526
11/3/2014,85.54,123.09,87.54,101.19,156.99,86.91,133.951
11/4/2014,85.64,123.61,87.14,101.67,157.2,87.37,134.599
11/5/2014,84.85,122.94,87.31,101.25,157.0155,85.96,134.7
11/6/2014,84.54,121.95,87.03,100.3052,155.6069,85.7,133.6345
11/7/2014,84.96,122.67,87.73,101.0999,155.85,86.4,134.061
11/10/2014,84.76,122.34,87.41,100.8365,155.73,86.22,133.63
11/11/2014,84.29,122.94,87.76,101.2786,156.42,86.99,134.17
11/12/2014,84.19,122.48,87.89,100.98,155.12,87.2168,134.17
11/13/2014,84.07,122.95,87.4,101.32,154.36,87.22,134.17
11/14/2014,83.7,123.43,88.16,101.78,153.97,87.67,133.9334
11/17/2014,83.61,122.63,88.02,101.1635,153.69,87.23,133.78
11/18/2014,83.26,123.47,87.99,101.86,153.6268,87.31,134.9
11/19/2014,82.51,123.57,87.6,101.92,154.03,86.21,134.36
11/20/2014,82.49,123.56,87.93,101.89,154.24,86.38,134.148
11/21/2014,82.71,122.08,88.4899,100.69,153.9,86.76,132.84
11/24/2014,82.31,122.55,88.08,100.9899,154.32,86.21,133.48
11/25/2014,82.54,122.9,88.36,101.25,154.36,85.43,133.571
11/26/2014,82.71,123.22,88.5,101.56,155.2,85.62,134.29
11/28/2014,82.01,122.46,86.95,101.0001,153.46,85.22,134.29
12/1/2014,82.28,122.86,87.75,101.2,154.64,85,133.785
12/2/2014,81.63,121.95,87.22,100.38,153.65,84.45,132.1001
12/3/2014,81.27,121.27,87.4582,99.83,154.03,84.04,131.83
12/4/2014,81.27,121.95,87.39,100.52,154.12,83.8536,132.441
12/5/2014,80.12,121.03,86.97,99.77,152.99,83.28,131.59
12/8/2014,80.67,121.25,86.62,99.93,153.81,82.93,131.69
12/9/2014,81.38,121.83,86.95,100.43,153.91,82.98,131.95
12/10/2014,82.47,122.55,86.64,100.94,154.34,83.29,132.05
12/11/2014,81.71,122.02,86.26,100.64,154.39,82.64,131.46
12/12/2014,82.02,122.63,85.94,101.19,154.38,82.6,131.64
12/15/2014,82.67,122.45,85.29,101.07,153.7055,82.13,130.05
12/16/2014,83.45,123.24,85.4699,101.6801,154.52,82.26,130.17
12/17/2014,81.95,121.54,85.42,100.3,152.96,81.3699,129.67
12/18/2014,81.9,121,85.7,99.54,153.92,81.68,128.81
12/19/2014,81.35,120.39,85.7,99.12,153.59,81.54,128.39
12/22/2014,81.04,120.4,85.41,99.08,153.01,81.41,127.372
12/23/2014,80.55,119.84,85.53,98.78,152.33,81.04,127.19
12/24/2014,80.76,120.03,85.5,98.87,152.72,81.17,127.19
12/26/2014,80.79,119.91,85.49,98.7699,152.7708,81.31,126.44
12/29/2014,80.59,119.67,85.49,98.55,152.35,81.44,126.7242
12/30/2014,81.41,119.67,85.67,98.64,152.815,81.99,128.1982
12/31/2014,81.21,119.14,85.54,98.16,153.0601,81.73,126.83
1/2/2015,80.72,118.2,84.54,97.41,150.61,80.98,125.75
1/5/2015,81.31,117.54,84.63,96.91,149.82,80.91,125.55
1/6/2015,82.11,117.16,84.06,96.66,148.81,80.99,125.51
1/7/2015,81.66,116.49,84.09,96.14,148.37,80.74,124.406
1/8/2015,81.32,116.08,84.02,95.74,148.13,81.18,123.94
1/9/2015,82.07,116.61,83.84,96.18,148.931,82.09,123.3099
1/12/2015,82.22,116.53,83.08,96.14,149.02,81.64,122.8
1/13/2015,82.56,115.88,83.16,95.62,148.91,81.7,122.9301
1/14/2015,82.97,116.06,83.25,95.75,149.621,81.61,123.26
1/15/2015,83.64,114.4,83.13,112.19,149.03,82.3,122.24
1/16/2015,82.71,113.91,83.1,113.83,148.88,82.44,121.93
1/20/2015,81.92,113.73,82.14,111.36,148.83,81.83,121.35
1/21/2015,82.57,114.09,80.64,113.58,148.6,80.99,120.98
1/22/2015,82.02,111.83,80.19,111.65,147.35,80.29,120.7867
1/23/2015,82.57,110.33,80,110.95,147.23,79.29,119.41
1/26/2015,82.1,110.88,79.78,108.1,148.27,79.31,120
1/27/2015,82.57,112.03,80.19,108.26,149.23,79.5,121.3655
1/28/2015,82.8,111.11,79.42,107.54,148.83,79.17,120.5501
1/29/2015,82.2,111.44,78.85,105.62,147.95,77.79,120.14
1/30/2015,82.81,111.22,78.22,106.19,147.91,77.97,119.878
2/2/2015,82.79,111.58,79.02,105.21,147.52,78.06,118.97
2/3/2015,82.74,113.03,80.18,105.51,148.96,78.05,120.8499
2/4/2015,82.92,112.12,79.16,105.64,149.33,77.81,120.9099
2/5/2015,82.7399,113.06,80.02,105.75,150.6,78.22,120.37
2/6/2015,81.81,111.4,79.4,105.38,149.59,78.06,118.5081
2/9/2015,81.98,111.45,79.7899,105.55,149.41,78.12,118.89
2/10/2015,81.45,111.36,79.04,105.3,149.76,77.72,119.3701
2/11/2015,80.82,111.15,78.63,105.01,149.58,77.09,118.275
2/12/2015,81.78,112.31,79.59,105.1204,151.2,77.46,117.51
2/13/2015,81.87,112.16,79.78,104.56,151.21,77.69,118.19
2/17/2015,81.55,112.38,80.35,104.15,150.79,78.23,119.27
2/18/2015,81.96,112.17,80.1,103.53,151.64,78.29,118.36
2/19/2015,81.73,111.8,79.53,102.66,151.28,77.96,118.33
2/20/2015,81.66,111.94,79.27,103.69,151.05,78.49,118.67
2/23/2015,81.83,111.53,79.06,102.62,151.78,78.09,117.87
2/24/2015,81.76,111.62,79.54,102.59,151.76,78.39,118.144
2/25/2015,81.78,111.84,80.02,102.8,152.45,78.98,119
2/26/2015,81.37,110.17,79.37,102.26,151.26,78,118.2099
2/27/2015,81.28,110.12,79.53,102.3,151.56,78.23,118.2099
3/2/2015,80.93,110,79.33,101.76,150.85,77.68,118.911
3/3/2015,81.21,109.94,79.6048,101.44,150.85,78.13,120.146
3/4/2015,81.22,108.98,80.05,101.26,149.83,78.26,119.0401
3/5/2015,80.92,108.51,79.52,100.09,149.52,77.7,118.8
3/6/2015,80.54,106.75,78.87,98.95,147.72,77.21,117.21
3/9/2015,80.26,106.78,78.949,98.91,148.53,77.1,116.96
3/10/2015,80.23,105.26,78.43,97.57,147.89,76.1968,116
3/11/2015,80.06,103.67,77.93,96.5,146.57,75.76,114.8986
3/12/2015,80.11,104.45,78.28,97.11,146.09,77.01,114.8986
3/13/2015,80.06,103.08,77.75,96.92,144.68,76.329,114.8986
3/16/2015,80.08,104.01,77.82,96.66,145.58,76.48,115.05
3/17/2015,80.07,104.19,77.85,96.8,144.7,76.2,115.05
3/18/2015,80.94,106.64,79.11,99.54,146.73,77.9101,114.85
3/19/2015,80.33,104.69,78.15,98.26,144.53,76.36,114.1
3/20/2015,80.98,106.32,79.03,99.75,146.71,77.83,116.66
3/23/2015,81.15,107.84,79.56,101.0799,146.92,78.96,116.71
3/24/2015,81.21,107.44,79.53,101.73,145.73,78.85,116.299
3/25/2015,81.39,107.88,79.43,101.47,145.92,78.51,116.68
3/26/2015,81.55,107.07,79.73,101.18,145.76,78.262,116.68
3/27/2015,81.59,107.16,78.87,101.56,146.04,77.68,115.5999
3/30/2015,80.92,106.32,78.3599,100.56,145.21,76.52,115.37
3/31/2015,81.02,105.71,78.5,100.23,145.61,76.28,114.89
4/1/2015,81.21,105.8,78.74,100.8399,145.49,76,114.9386
4/2/2015,81.14,106.99,79.13,101.55,145.5,75.81,114.884
4/6/2015,81.35,107.59,79.67,101.71,146.09,76.07,115.97
4/7/2015,80.79,106.34,79.51,100.78,145.48,76.4,114.4
4/8/2015,80.95,106.03,79.27,100.81,146.13,76.92,114.4
4/9/2015,80.54,104.77,78.95,99.55,144.29,76.9699,113.01
4/10/2015,80.85,104.33,79.02,99.51,143.71,76.8824,112.3
4/13/2015,80.94,104.03,78.97,99.7,143.9975,75.96,112.47
4/14/2015,81.38,104.71,79.58,100.09,145.01,76.29,112.92
4/15/2015,81.56,105.07,80.85,100.92,145.71,76.8099,113.15
4/16/2015,81.62,105.89,81.65,101.79,146.57,77.97,113.15
4/17/2015,81.81,106.36,81.33,102.38,146.85,77.86,113.15
4/20/2015,81.5,105.55,81.3,101.88,146.28,77.28,113.15
4/21/2015,81.22,105.54,80.95,101.93,146.5,77.16,114.62
4/22/2015,81.02,105.45,81.29,100.32,147.57,77.74,113.36
4/23/2015,81.3099,106.43,81.8652,102.06,147.76,77.88,113.36
4/24/2015,81.73,106.81,81.72,102.09,148.95,78.37,114.7101
4/27/2015,81.6,107.04,82.2,101.7936,149.42,78.63,114.7101
4/28/2015,81.75,107.89,82.66,101.78,150.35,80.22,116.138
4/29/2015,81.63,109.25,82.69,103.56,151.39,80.29,118.24
4/30/2015,81.38,110.37,82.43,104.37,150.66,79.28,118.93
5/1/2015,80.85,110.15,81.78,104.32,148.58,78.41,118.096
5/4/2015,80.91,109.62,82.23,104.17,148.38,78.46,118.443
5/5/2015,81.06,110.03,82.38,105.03,148.83,79.469,118.66
5/6/2015,81.34,111.55,82.58,106.32,149.64,79.81,118.66
5/7/2015,81.13,110.75,82.02,105.58,149.76,79.06,119.72
5/8/2015,81.16,110.14,82.22,104.4601,151.66,79.33,119.8
5/11/2015,80.89,109.61,82.11,104.12,152.97,79.04,119.99
5/12/2015,81.07,110.2,82.72,104.75,153.77,79.92,119.99
5/13/2015,81.54,111.48,83.05,106.04,154.4,81.06,120.58
5/14/2015,81.54,112.1,82.83,106.61,154.73,80.84,119.9605
5/15/2015,81.42,112.51,82.69,106.29,154.38,80.48,120.78
5/18/2015,80.96,111.14,81.75,105.0901,153.52,79.89,120.04
5/19/2015,80.46,109.55,81.29,103.73,152.11,79.23,118.715
5/20/2015,80.13,109.13,81.49,103.91,152.45,78.9,118.715
5/21/2015,80.3,109.22,81.4198,103.898,153.66,78.99,119.01
5/22/2015,79.91,108.14,80.84,102.99,151.82,78.26,118.0199
5/26/2015,78.87,106.82,79.99,101.98,150.88,77.37,116.85
5/27/2015,78.48,107.09,79.81,102.3,150.52,77.36,115.53
5/28/2015,78.33,107.52,79.98,103.01,150.16,76.58,116.551
5/29/2015,78.25,107.91,79.92,103.49,149.96,76.56,116.551
6/1/2015,77.81,107.31,79.33,102.73,149.04,76.05,115.22
6/2/2015,78.26,109.47,80.12,104.19,150.48,77.69,117.42
6/3/2015,78.18,110.77,79.81,104.01,150.33,77.85,118.9501
6/4/2015,78.11,110.39,79.53,104.2,150.695,76.82,120.16
6/5/2015,77.29,109.13,79.91,103.42,149.77,76.26,117.55
6/8/2015,78.09,110.85,80.2,104.72,150.52,77.07,119.1
6/9/2015,78.12,110.74,80.54,104.3865,150.9,76.86,119.1
6/10/2015,79.24,111.27,81.08,104.37,152.41,77.65,119.1
6/11/2015,78.72,110.69,80.98,104.15,152.21,77.68,119.946
6/12/2015,78.71,110.53,80.74,104.59,152.43,77.35,120.66
