Dates,DBA,USCI,DBC,DJP,GLD,IAU,SIVR,SLV,PALL,USO,UNG
1/3/2018,18.96,42.91,16.79,24.6,124.82,12.64,16.71,16.17,103.43,12.34,23.64
1/4/2018,18.93,42.81,16.77,24.57,125.46,12.71,16.77,16.23,104.87,12.37,22.68
1/5/2018,18.83,42.46,16.71,24.42,125.33,12.69,16.77,16.22,104.4,12.31,22.08
1/8/2018,18.7,42.41,16.7,24.36,125.31,12.69,16.685,16.15,105,12.38,22.3
1/9/2018,18.74,42.55,16.81,24.5,124.73,12.63,16.56,16.03,105.3,12.57,23.3
1/10/2018,18.67,42.56,16.87,24.5,125.03,12.66,16.54,16.02,103.51,12.68,22.99
1/11/2018,18.6,42.56,16.86,24.51,125.44,12.69,16.55,16.01,103.5,12.7,24.4
1/12/2018,18.56,42.7,16.97,24.71,126.96,12.86,16.82,16.27,107.13,12.87,25.28
1/16/2018,18.54,42.52,16.89,24.57,127.17,12.86,16.79,16.25,104.74,12.76,24.6
1/17/2018,18.69,42.71,16.91,24.67,126.14,12.77,16.6,16.06,106.68,12.78,25.6
1/18/2018,18.68,42.8099,16.91,24.63,125.86,12.75,16.52,15.97,105.21,12.76,25.19
1/19/2018,18.63,42.7,16.88,24.62,126.42,12.78,16.59,16.05,105.43,12.72,24.86
1/22/2018,18.69,42.97,16.92,24.75,126.65,12.81,16.58,16.04,104.7892,12.78,24.85
1/23/2018,18.62,43.02,17.04,24.87,127.28,12.88,16.62,16.08,104.46,12.97,25.94
1/24/2018,18.8,43.5,17.22,25.25,128.83,13.05,17.12,16.56,106.34,13.22,25.72
1/25/2018,18.74,43.29,17.12,25.14,127.97,12.94,16.86,16.31,104.63,13.06,26.17
1/26/2018,18.89,43.7,17.25,25.32,128.07,12.97,16.97,16.41,104.09,13.24,26.77
1/29/2018,18.91,43.71,17.2,25.27,127.35,12.88,16.75,16.21,103.63,13.11,26.84
1/30/2018,18.94,43.479,17.08,25.15,126.8,12.83,16.68,16.15,100.74,12.9,26.77
1/31/2018,18.83,43.41,17.1,25.02,127.65,12.92,16.91,16.35,98.02,12.98,25.08
2/1/2018,19,43.85,17.27,25.13,128.07,12.97,16.81,16.25,99.02,13.24,24.35
2/2/2018,18.97,43.22,16.99,24.76,126.39,12.8,16.18,15.66,99.53,13.04,24.2
2/5/2018,18.84,42.9,16.83,24.54,126.71,12.85,16.28,15.74,97.98,12.77,23.24
2/6/2018,18.98,42.62,16.73,24.52,125.38,12.69,16.18,15.65,96.37,12.7,23.3
2/7/2018,18.96,42.18,16.54,24.18,124.79,12.62,15.92,15.41,93.86,12.37,22.8
2/8/2018,18.86,41.82,16.37,24.04,124.98,12.65,15.97,15.46,91.5,12.09,22.74
2/9/2018,18.82,41.24,16.13,23.76,124.77,12.63,15.91,15.39,93.12,11.86,22.03
2/12/2018,18.94,41.3616,16.23,23.94,125.37,12.68,16.11,15.57,94.05,11.89,21.67
2/13/2018,18.94,41.61,16.26,24.1,126.08,12.76,16.15,15.62,94.1799,11.87,22
2/14/2018,19.01,42.28,16.51,24.46,128.23,12.98,16.46,15.91,95.65,12.18,21.99
2/15/2018,19.12,42.4,16.54,24.58,128.38,12.99,16.45,15.91,97.17,12.33,21.87
2/16/2018,18.97,42.39,16.57,24.49,127.96,12.95,16.27,15.73,99.85,12.38,21.69
2/20/2018,18.98,42.43,16.62,24.43,126.24,12.77,16.05,15.54,98.57,12.39,22.18
2/21/2018,18.93,42.48,16.6,24.44,125.66,12.71,16.08,15.54,97.3,12.29,22.3
2/22/2018,19.04,42.69,16.75,24.64,126.3,12.79,16.19,15.66,99,12.59,22.14
2/23/2018,19.1,42.87,16.86,24.72,126.14,12.77,16.11,15.59,99.72,12.77,22.22
2/26/2018,19.14,43.12,16.95,24.82,126.45,12.79,16.21,15.68,101.3,12.86,22.39
2/27/2018,19.1,42.82,16.78,24.66,125.13,12.65,16.01,15.48,98.95,12.65,22.39
2/28/2018,19.17,42.47,16.6,24.49,125,12.66,15.99,15.46,99.4202,12.37,22.26
3/1/2018,19.46,42.48,16.63,24.63,124.72,12.62,16.08,15.54,94.1,12.35,22.45
3/2/2018,19.39,42.43,16.63,24.55,125.39,12.68,16.1,15.56,94.69,12.37,22.58
3/5/2018,19.63,42.77,16.73,24.67,125.18,12.66,16.01,15.49,93.63,12.59,22.53
3/6/2018,19.59,42.8,16.79,24.78,126.53,12.8,16.32,15.78,93.85,12.57,22.95
3/7/2018,19.42,42.4,16.61,24.52,125.72,12.71,16.05,15.53,92.48,12.35,23.22
3/8/2018,19.48,42.34,16.51,24.37,125.42,12.69,16.08,15.55,92.82,12.15,22.92
3/9/2018,19.35,42.66,16.67,24.45,125.54,12.7,16.17,15.63,94.74,12.47,22.74
3/12/2018,19.38,42.575,16.64,24.38,125.54,12.7,16.13,15.61,93.05,12.37,23.21
3/13/2018,19.39,42.55,16.59,24.41,125.78,12.73,16.14,15.61,94.25,12.24,23.24
3/14/2018,19.4,42.4923,16.59,24.36,125.7,12.72,16.13,15.61,94.13,12.28,22.82
3/15/2018,19.28,42.44,16.58,24.25,124.9,12.64,15.96,15.45,94.13,12.34,22.4
3/16/2018,19.19,42.52,16.64,24.28,124.6,12.61,15.92,15.39,94.62,12.55,22.48
3/19/2018,18.84,42.16,16.53,24.03,124.87,12.64,15.91,15.39,94.09,12.55,22.13
3/20/2018,18.8,42.3,16.64,24.07,124.31,12.58,15.79,15.28,93.43,12.81,22.29
3/21/2018,18.85,42.93,16.94,24.37,126.48,12.8,16.19,15.65,94.19,13.18,22.06
3/22/2018,18.85,42.56,16.81,24.18,125.98,12.75,15.98,15.44,93.71,12.95,21.88
3/23/2018,18.87,42.86,16.96,24.25,127.61,12.93,16.11,15.58,92.79,13.28,21.68
3/26/2018,18.81,42.86,16.97,24.28,128.28,12.99,16.27,15.72,92.77,13.21,22.03
3/27/2018,18.7,42.66,16.9,24.16,127.49,12.91,16.1,15.57,92.42,13.08,22.36
3/28/2018,18.69,42.55,16.83,24.09,125.73,12.73,15.88,15.36,91.95,13.04,22.3
3/29/2018,18.81,42.78,16.98,24.35,125.79,12.73,15.94,15.41,90.53,13.09,22.55
4/2/2018,18.71,42.46,16.75,24.13,127.26,12.89,16.19,15.65,89.03,12.74,22.04
4/3/2018,18.6,42.46,16.84,24.2,126.3,12.79,15.995,15.46,88.73,12.81,22.23
4/4/2018,18.55,42.28,16.77,24.1,126.45,12.81,15.89,15.38,88.25,12.82,22.33
4/5/2018,18.82,42.54,16.85,24.22,125.8,12.74,15.98,15.45,86.2,12.83,22.09
4/6/2018,18.72,42.19,16.73,24.14,126.39,12.81,15.95,15.43,85.85,12.51,22.24
4/9/2018,18.99,42.64,16.94,24.47,126.82,12.84,16.09,15.56,88.57,12.77,22.25
4/10/2018,18.89,43.17,17.23,24.78,127.12,12.88,16.1538,15.62,90.64,13.25,21.94
4/11/2018,18.9,43.38,17.36,24.86,128.11,12.97,16.23,15.69,91.72,13.45,22.02
4/12/2018,18.97,43.11,17.29,24.81,126.62,12.82,16.06,15.52,91.79,13.52,22.19
4/13/2018,18.91,43.25,17.3,24.89,127.45,12.91,16.21,15.68,93.83,13.55,22.57
4/16/2018,18.85,43.38,17.24,24.8,127.63,12.93,16.24,15.72,95.62,13.38,22.69
4/17/2018,18.84,43.58,17.25,24.82,127.75,12.94,16.33,15.8,96.51,13.41,22.6
4/18/2018,19.05,44.49,17.57,25.29,127.85,12.94,16.73,16.18,98.7,13.88,22.61
4/19/2018,19,44.25,17.5,25.14,127.6,12.93,16.81,16.26,98.36,13.77,22.09
4/20/2018,18.85,44.2,17.47,25.09,126.63,12.82,16.68,16.13,98.11,13.75,22.56
4/23/2018,18.79,44.12,17.46,24.88,125.62,12.72,16.2,15.67,93.56,13.92,22.62
4/24/2018,18.93,43.99,17.37,24.845,126.23,12.79,16.305,15.76,92.76,13.68,22.91
4/25/2018,19.06,43.99,17.4,24.91,125.41,12.69,16.13,15.61,92.82,13.72,22.93
4/26/2018,18.97,44.06,17.49,24.97,124.97,12.65,16.105,15.58,93.87,13.77,23.05
4/27/2018,19.22,44.03,17.48,24.97,125.5,12.71,16.11,15.57,92.59,13.73,22.6
4/30/2018,19.25,44.04,17.56,24.99,124.59,12.62,15.91,15.38,92,13.8,22.56
5/1/2018,19.48,43.89,17.46,24.98,123.71,12.53,15.75,15.24,89.88,13.61,22.83
5/2/2018,19.32,43.73,17.46,24.97,123.65,12.53,15.94,15.42,91.51,13.67,22.48
5/3/2018,19.54,44.01,17.57,25.1,124.28,12.59,15.99,15.46,91.51,13.82,22.31
5/4/2018,19.32,44.28,17.69,25.16,124.54,12.62,16.08,15.54,92.17,14.09,22.15
5/7/2018,19.15,44.29,17.68,25.01,124.57,12.62,16.05,15.52,92.39,14.1,22.3
5/8/2018,19.19,44.27,17.73,25.11,124.59,12.62,16.06,15.51,92.54,14.06,22.33
5/9/2018,19.04,44.61,17.89,25.2,124.33,12.6,16.06,15.53,92.987,14.37,22.3
5/10/2018,19.05,44.74,17.98,25.3,125.18,12.67,16.27,15.74,95.07,14.41,22.88
5/11/2018,18.95,44.8,17.87,25.14,125,12.65,16.24,15.7,94.34,14.25,22.95
5/14/2018,18.85,44.88,18,25.27,124.49,12.61,16.08,15.56,94.91,14.38,23.13
5/15/2018,18.75,44.65,18.02,25.185,122.48,12.4,15.86,15.33,93.44,14.4,23.13
5/16/2018,18.77,44.89,18.12,25.2,122.29,12.39,15.94,15.41,93.89,14.46,22.95
5/17/2018,18.66,44.91,18.14,25.27,122.36,12.38,16.01,15.47,92.99,14.49,23.26
5/18/2018,18.87,44.9,18.15,25.28,122.41,12.4,16.01,15.48,92.02,14.43,23.19
5/21/2018,18.99,45.26,18.29,25.49,122.48,12.41,16.08,15.54,94.3225,14.67,23.13
5/22/2018,19.1,45.18,18.31,25.57,122.41,12.4,16.12,15.58,94.32,14.56,23.72
5/23/2018,19.29,45.22,18.41,25.68,122.54,12.41,16.03,15.5,93.0432,14.51,23.92
5/24/2018,19.23,45.08,18.29,25.67,123.59,12.51,16.23,15.69,92.79,14.29,24.02
5/25/2018,19.36,44.63,18.02,25.465,123.21,12.48,16.07,15.53,93.15,13.68,23.97
5/29/2018,19.22,44.46,17.85,25.25,123.19,12.48,15.97,15.44,92.894,13.51,23.47
5/30/2018,19.23,45.115,18.08,25.45,123.37,12.49,16.08,15.55,93.77,13.83,23.37
5/31/2018,19.21,44.98,18.03,25.43,123.1,12.46,15.99,15.46,94.03,13.55,23.89
6/1/2018,19.14,44.76,17.91,25.3,122.49,12.41,15.96,15.44,95.38,13.25,24.03
6/4/2018,18.68,44.41,17.7,25.03,122.37,12.39,15.98,15.45,94.56,13.12,23.67
6/5/2018,18.64,44.41,17.73,25.05,122.85,12.44,16.051,15.52,94.4,13.22,23.37
6/6/2018,18.73,44.52,17.79,25.18,122.92,12.44,16.24,15.7,96.92,13.16,23.45
6/7/2018,18.58,44.7,17.86,25.18,122.86,12.44,16.26,15.72,96.2,13.35,23.71
6/8/2018,18.77,44.78,17.85,25.21,123.01,12.46,16.33,15.78,96.32,13.27,23.49
6/11/2018,18.56,44.5,17.84,25.09,123.23,12.47,16.4801,15.94,97.22,13.36,23.83
6/12/2018,18.79,44.67,17.83,25.17,122.82,12.43,16.41,15.87,97,13.4,23.79
6/13/2018,18.67,44.68,17.9,25.21,123.19,12.47,16.62,16.08,96.44,13.47,23.95
6/14/2018,18.42,44.25,17.7,24.93,123.38,12.5,16.74,16.17,95.98,13.52,24.02
6/15/2018,18.46,43.5,17.27,24.47,121.34,12.29,16.14,15.6,94.23,13.05,24.52
6/18/2018,18.28,43.66,17.42,24.46,121.11,12.26,16.05,15.51,94.18,13.29,24
6/19/2018,18.1,43.146,17.24,24.15,120.8,12.23,15.89,15.36,92.1331,13.14,23.65
6/20/2018,18.18,43.22,17.22,24.15,120.26,12.18,15.87,15.34,91.63,13.28,24.03
6/21/2018,18.13,42.94,17.09,24.08,120.05,12.15,15.89,15.36,90.2,13.31,24.1
6/22/2018,18.21,43.61,17.43,24.39,120.34,12.18,16.02,15.5,90.95,14.02,23.87
6/25/2018,17.92,43,17.23,23.99,119.89,12.14,15.91,15.37,89.5,13.77,23.74
6/26/2018,17.89,43.2,17.4,24.15,119.26,12.07,15.87,15.33,91.29,14.27,23.83
6/27/2018,17.76,43.3,17.49,24.23,118.58,12,15.62,15.12,90.3375,14.65,24.2
6/28/2018,17.77,43.38,17.48,24.18,118.22,11.97,15.585,15.07,89.71,14.86,23.93
6/29/2018,18.03,43.72,17.68,24.35,118.65,12.02,15.66,15.15,90.6,15.06,23.7
7/2/2018,17.66,43.14,17.31,23.88,117.46,11.9,15.43,14.91,89.8,14.96,23.23
7/3/2018,17.67,42.94,17.29,23.89,118.65,12.01,15.555,15.03,89.43,14.92,23.44
7/5/2018,17.66,42.95,17.39,23.8,119.05,12.05,15.61,15.1,90.29,14.78,22.96
7/6/2018,17.91,43.04,17.47,23.98,118.86,12.03,15.6,15.08,90.37,14.96,23.16
7/9/2018,17.72,43.06,17.56,23.97,119.15,12.06,15.69,15.17,91.14,15.03,22.96
7/10/2018,17.62,43.09,17.52,23.82,118.93,12.04,15.64,15.12,89.56,15.07,22.58
7/11/2018,17.28,41.87,16.91,23.17,117.64,11.9,15.38,14.86,89.1,14.31,22.9
7/12/2018,17.4,42.23,17,23.27,118.13,11.95,15.52,15,90.35,14.39,22.71
7/13/2018,17.36,42.29,17.03,23.2,117.61,11.9,15.38,14.88,89.1,14.47,22.41
7/16/2018,17.33,41.5,16.67,22.96,117.55,11.91,15.3752,14.85,87.34,13.94,22.41
7/17/2018,17.33,41.41,16.69,22.91,116.28,11.77,15.17,14.67,86.8164,13.95,22.2
7/18/2018,17.28,41.67,16.84,23.02,116.31,11.77,15.15,14.63,86.23,14.1,22.15
7/19/2018,17.32,41.49,16.82,23.01,115.81,11.73,14.91,14.42,82.79,14.13,22.44
7/20/2018,17.44,41.61,16.94,23.19,116.56,11.81,15.1,14.59,84.96,14.15,22.38
7/23/2018,17.48,41.74,17,23.18,116,11.75,14.98,14.47,86.8999,14.09,22.09
7/24/2018,17.42,41.84,17.09,23.33,116.04,11.75,15.08,14.58,86.92,14.23,22.32
7/25/2018,17.67,42.29,17.32,23.69,116.68,11.82,15.19,14.68,89.01,14.42,22.6
7/26/2018,17.55,42.3,17.32,23.58,115.77,11.73,14.99,14.49,88.29,14.47,22.62
7/27/2018,17.47,42.05,17.25,23.57,115.83,11.73,15.08,14.57,88,14.32,22.81
7/30/2018,17.58,42.31,17.35,23.72,115.65,11.72,15.08,14.58,88.08,14.54,22.96
7/31/2018,17.53,42.09,17.25,23.74,115.99,11.74,15.12,14.61,88.81,14.28,22.81
8/1/2018,17.44,41.42,17,23.37,115.14,11.66,14.99,14.48,87.2199,14.09,22.66
8/2/2018,17.38,41.51,17.1,23.46,114.52,11.59,14.91,14.43,86.9,14.36,23.08
8/3/2018,17.51,41.6508,17.16,23.6,114.92,11.64,15.02,14.5,86.68,14.27,23.34
8/6/2018,17.64,41.795,17.19,23.64,114.33,11.58,14.9,14.4,86.06,14.31,23.43
8/7/2018,17.55,41.985,17.32,23.78,114.59,11.6,14.96,14.43,86.27,14.36,23.74
8/8/2018,17.54,41.59,17.11,23.68,114.91,11.63,15,14.5,85.34,13.9,24.13
8/9/2018,17.49,41.615,17.04,23.59,114.74,11.62,15.02,14.52,85.85,13.88,24.21
8/10/2018,17.21,41.4975,17.04,23.37,114.69,11.61,14.92,14.41,86.41,14.08,24.13
8/13/2018,17.08,41.29,16.95,23.19,112.96,11.45,14.58,14.1,84.6,14.01,24.04
8/14/2018,17.22,41.38,16.98,23.25,113.07,11.46,14.67,14.17,85.35,13.99,24.22
8/15/2018,17.07,40.65,16.61,22.73,111.19,11.27,14.0435,13.57,80.32,13.51,24.14
8/16/2018,17.29,41.13,16.74,22.96,111.1,11.26,14.26,13.77,84.16,13.63,23.86
8/17/2018,17.44,41.52,16.81,23.19,112.13,11.35,14.42,13.92,86.5,13.69,24.18
8/20/2018,17.27,41.48,16.84,23.13,112.69,11.41,14.37,13.88,86.6503,13.76,24.15
8/21/2018,17.25,41.57,16.87,23.14,113.02,11.45,14.36,13.89,86.82,13.83,24.38
8/22/2018,17.14,41.83,17.11,23.2,113.27,11.47,14.36,13.88,87.98,14.27,24.18
8/23/2018,16.99,41.53,17.08,23.03,112.2,11.37,14.11,13.65,87.04,14.27,24.23
8/24/2018,17.04,41.72,17.21,23.2,114.16,11.56,14.42,13.92,88.77,14.43,23.88
8/27/2018,17.18,41.93,17.27,23.25,114.59,11.6,14.49,13.99,90.18,14.5,23.52
8/28/2018,16.9,41.61,17.2,23.09,113.68,11.52,14.32,13.84,89.03,14.43,23.35
8/29/2018,16.99,41.9,17.39,23.3,114.2,11.57,14.36,13.87,91.39,14.66,23.55
8/30/2018,16.85,41.58,17.36,23.18,113.64,11.51,14.17,13.7,91.9228,14.75,23.65
8/31/2018,17.06,41.67,17.38,23.27,113.51,11.5,14.12,13.65,93.29,14.71,23.95
9/4/2018,17.05,41.33,17.28,23.03,112.93,11.45,13.78,13.31,92.9691,14.58,23.11
9/5/2018,17.05,41.21,17.21,22.94,113.32,11.48,13.82,13.35,92.44,14.49,22.93
9/6/2018,17.01,41.22,17.11,22.88,113.54,11.51,13.79,13.31,92.29,14.3,22.81
9/7/2018,17.1,41.22,17.15,22.93,113.23,11.46,13.79,13.32,92.8,14.28,22.8
9/10/2018,17.22,41.39,17.21,23.03,113.15,11.46,13.78,13.31,92.69,14.21,23.02
9/11/2018,17.05,41.43,17.38,23.02,113.22,11.48,13.74,13.28,92.29,14.6,23.21
9/12/2018,17.16,41.81,17.5,23.2,114.17,11.56,13.88,13.39,92.39,14.78,23.21
9/13/2018,17.08,41.44,17.31,22.95,113.76,11.52,13.81,13.35,92.97,14.49,23.06
9/14/2018,17.05,41.16,17.2,22.81,113.02,11.46,13.7,13.23,92.66,14.5,22.69
9/17/2018,16.9,41.15,17.18,22.76,113.61,11.5,13.8,13.31,93.56,14.47,22.96
9/18/2018,16.89,41.62,17.34,22.96,113.44,11.49,13.78,13.31,95.91,14.69,23.84
9/19/2018,16.97,41.7928,17.45,23.14,113.88,11.53,13.85,13.4,98.27,14.94,23.77
9/20/2018,17.08,41.95,17.45,23.32,114.27,11.57,13.93,13.45,99.76,14.8,24.37
9/21/2018,17.08,42,17.49,23.51,113.49,11.49,13.9,13.44,99.75,14.96,24.59
9/24/2018,17.03,42.44,17.75,23.63,113.47,11.49,13.89,13.41,100.4,15.25,25.08
9/25/2018,16.98,42.6,17.79,23.69,113.65,11.52,14.07,13.59,100.59,15.27,25.2
9/26/2018,16.96,42.42,17.71,23.55,113.05,11.45,13.98,13.49,101.525,15.11,24.63
9/27/2018,16.89,42.21,17.79,23.62,112.05,11.36,13.89,13.41,102.6732,15.26,25.24
9/28/2018,16.91,42.47,17.97,23.76,112.76,11.43,14.22,13.73,102.11,15.52,24.83
10/1/2018,17.05,42.89,18.31,24.15,112.57,11.4,14.11,13.62,100.1799,15.95,25.71
10/2/2018,17.36,43.1,18.37,24.38,113.87,11.53,14.27,13.79,99.98,15.87,26.11
10/3/2018,17.18,43.11,18.54,24.59,113.42,11.5,14.24,13.78,100.58,16.08,26.85
10/4/2018,17.15,42.67,18.34,24.31,113.48,11.49,14.2,13.71,100.39,15.74,26.32
10/5/2018,17.35,42.8501,18.3,24.3,113.8,11.53,14.23,13.75,101.77,15.69,26.06
10/8/2018,17.45,42.95,18.25,24.33,112.54,11.39,14,13.53,102.22,15.68,27.07
10/9/2018,17.43,43.1135,18.38,24.43,112.6,11.42,14.02,13.53,101.84,15.82,27.11
10/10/2018,17.28,42.53,18.02,24.06,112.88,11.44,13.91,13.45,101.38,15.38,26.98
10/11/2018,17.32,42.03,17.75,23.96,115.78,11.72,14.17,13.67,102.54,14.95,26.63
10/12/2018,17.55,42.32,17.89,24.11,115.23,11.68,14.21,13.74,101.25,15.12,26.06
10/15/2018,17.76,42.41,17.93,24.37,116,11.75,14.28,13.8,103.1,15.13,26.88
10/16/2018,17.76,42.67,18.01,24.34,115.8,11.75,14.25,13.78,102.438,15.19,26.8
10/17/2018,17.75,42.22,17.85,24.27,115.79,11.72,14.24,13.74,101.6,14.82,27.47
10/18/2018,17.55,41.71,17.65,23.94,115.92,11.75,14.19,13.7,101.8849,14.56,26.62
10/19/2018,17.54,41.87,17.75,24.04,116.01,11.75,14.22,13.74,102.7,14.72,26.81
10/22/2018,17.62,42.15,17.77,23.97,115.71,11.72,14.18,13.68,106.5999,14.74,26.05
10/23/2018,17.66,41.63,17.38,23.77,116.39,11.79,14.3381,13.83,108.79,14.04,26.66
10/24/2018,17.62,41.46,17.26,23.61,116.66,11.81,14.26,13.79,107.24,14.05,26.38
10/25/2018,17.56,41.52,17.33,23.56,116.4,11.8,14.23,13.74,104.6166,14.21,26.27
10/26/2018,17.72,41.88,17.46,23.76,116.77,11.82,14.29,13.81,104.84,14.33,26.36
10/29/2018,17.51,41.48,17.28,23.44,116.31,11.78,14.06,13.59,103.36,14.11,25.92
10/30/2018,17.45,41.3,17.19,23.29,115.8,11.73,14.09,13.61,102.1,14.03,26.06
10/31/2018,17.41,41.03,16.96,23.16,115.15,11.67,13.9,13.41,102.58,13.79,26.7
11/1/2018,17.62,41.01,16.84,23.24,116.63,11.82,14.33,13.83,103.78,13.46,26.4
11/2/2018,17.77,40.9993,16.8,23.36,116.65,11.82,14.34,13.86,106.0726,13.31,26.75
11/5/2018,17.67,40.9,16.79,23.45,116.37,11.8,14.25,13.76,107.64,13.3,28.93
11/6/2018,17.58,40.8527,16.72,23.31,116.04,11.75,14.12,13.65,105.75,13.18,28.76
11/7/2018,17.59,40.91,16.68,23.3,116.03,11.75,14.17,13.67,107.5265,13.06,28.68
11/8/2018,17.5,40.56,16.58,23.17,115.78,11.72,14.05,13.56,107.4551,12.84,28.94
11/9/2018,17.31,40.2,16.4,23.01,114.48,11.6,13.79,13.32,105.841,12.7,30.24
11/12/2018,17.3,40.06,16.36,23.07,113.66,11.51,13.62,13.17,104.5,12.48,31.56
11/13/2018,17.23,39.4,15.91,22.84,113.7,11.51,13.61,13.15,105.3155,11.69,33.07
11/14/2018,17.28,39.64,16.05,23.67,114.64,11.61,13.77,13.28,107.08,11.95,39.32
11/15/2018,17.24,39.62,16.02,22.96,114.77,11.62,13.92,13.42,110,11.98,31.8
11/16/2018,17.42,39.97,16.12,23.5,115.62,11.7,14.01,13.53,111.7799,12.07,35.43
11/19/2018,17.36,39.91,16.12,23.59,115.67,11.73,14.03,13.55,110.23,12.14,37.2
11/20/2018,17.25,39,15.63,23.13,115.67,11.72,13.94,13.45,108.1801,11.27,36.68
11/21/2018,17.24,39.11,15.76,23.23,115.86,11.75,14.09,13.6,109.02,11.52,36.3
11/23/2018,17.16,38.3,15.3,22.8,115.77,11.72,13.88,13.42,106.5847,10.83,36.38
11/26/2018,17.08,38.44,15.37,22.61,115.64,11.72,13.85,13.39,108.9,10.94,34.56
11/27/2018,17.09,38.14,15.31,22.51,114.95,11.64,13.74,13.29,109.9,10.95,34.14
11/28/2018,17.25,38.14,15.26,22.92,115.38,11.7,13.92,13.43,112.3516,10.66,37.74
11/29/2018,17.29,38.25,15.36,22.96,115.74,11.73,13.9,13.43,111.9175,10.87,37.09
11/30/2018,17.29,38.26,15.29,22.95,115.54,11.71,13.78,13.32,111.64,10.73,37.32
12/3/2018,17.37,38.74,15.64,23.09,116.41,11.79,13.96,13.49,113.98,11.27,35.14
12/4/2018,17.29,38.83,15.65,23.22,117.12,11.87,14.12,13.62,117.26,11.18,36.32
12/6/2018,17.25,38.565,15.52,22.99,117.14,11.86,14.06,13.6,115.69,10.94,35.35
12/7/2018,17.41,38.97,15.7,23.3,118.09,11.96,14.22,13.73,117.15,11.11,36.52
12/10/2018,17.34,38.56,15.45,23.04,117.68,11.92,14.11,13.65,116.84,10.75,36.49
12/11/2018,17.25,38.64,15.54,23.01,117.54,11.91,14.15,13.66,118.8,10.95,35.33
12/12/2018,17.33,38.6549,15.49,22.86,117.79,11.94,14.33,13.82,121.8,10.82,33.24
12/13/2018,17.41,39,15.69,23.03,117.53,11.92,14.35,13.86,123.65,11.21,33.44
12/14/2018,17.33,38.61,15.45,22.55,117.06,11.87,14.16,13.7,120.62,10.82,30.75
12/17/2018,17.22,38.33,15.27,22.2,117.87,11.94,14.25,13.77,122.685,10.45,28.71
12/18/2018,17.22,38.07,14.95,22.04,118.15,11.96,14.23,13.75,121.0799,9.79,30.74
12/19/2018,17.19,38.06,15.01,22,117.43,11.91,14.16,13.69,122.16,10.02,30.14
12/20/2018,17.14,37.92,14.87,21.89,119.24,12.09,14.3542,13.85,119.8547,9.72,30.1
12/21/2018,17,37.57,14.74,21.67,118.72,12.03,14.21,13.74,115.94,9.57,30.25
12/24/2018,16.95,37.49,14.39,21.47,120.02,12.15,14.37,13.87,119.2162,9.29,29.31
12/26/2018,16.96,37.96,14.71,21.65,119.66,12.14,14.63,14.11,118,9.9,28.23
12/27/2018,16.9,37.75,14.57,21.54,120.57,12.21,14.82,14.3,119.5,9.62,28.86
12/28/2018,16.97,37.5765,14.45,21.4,121.06,12.27,14.94,14.42,119.7177,9.53,27.4
12/31/2018,16.94,37.53,14.49,21.22,121.25,12.29,15.039,14.52,119.05,9.66,24.71
1/2/2019,16.91,37.42,14.53,21.24,121.33,12.3,15.08,14.56,120.03,9.85,24.49
1/3/2019,16.97,37.49,14.65,21.41,122.43,12.41,15.28,14.75,122.7074,9.95,24.21
1/4/2019,16.94,37.73,14.85,21.69,121.44,12.32,15.25,14.73,125.695,10.18,25.09
1/7/2019,17.16,37.94,14.96,21.75,121.86,12.35,15.2,14.67,126.76,10.29,24.38
1/8/2019,17.28,38.09,15.11,21.87,121.53,12.32,15.21,14.69,128.2689,10.5,24.74
1/9/2019,17.31,38.42,15.41,22.18,122.31,12.39,15.3,14.78,126.76,11.05,24.89
1/10/2019,17.18,38.32,15.37,22.03,121.59,12.32,15.12,14.6,126.3833,11.1,24.75
1/11/2019,17.24,38.37,15.32,22.11,121.8,12.34,15.15,14.64,125.24,10.9,26.09
1/14/2019,17.16,38.28,15.19,22.16,122.09,12.37,15.21,14.66,125.55,10.69,29.75
1/15/2019,17.08,38.23,15.31,22.24,121.88,12.35,15.12,14.6,124.91,11,28.72
1/16/2019,17.1,38.48,15.39,22.29,122.27,12.39,15.15,14.63,128.03,11.06,28.22
1/17/2019,17.2,38.7,15.4,22.4,122.11,12.38,15.1,14.57,133.2068,11.03,28.27
1/18/2019,17.28,38.73,15.56,22.58,121.02,12.27,14.88,14.37,130.7077,11.31,28.41
1/22/2019,17.13,38.44,15.45,22.27,121.45,12.3,14.91,14.39,126.9,11.12,26.65
1/23/2019,17.18,38.56,15.43,22.26,121.28,12.29,14.94,14.42,128.47,11.05,26.31
1/24/2019,17.19,38.565,15.47,22.31,121.09,12.26,14.88,14.36,125.5,11.17,26.96
1/25/2019,17.08,38.76,15.55,22.54,122.86,12.45,15.27,14.74,128.9822,11.25,27.4
1/28/2019,17.09,38.54,15.34,22.19,123.29,12.48,15.31,14.79,126.0045,10.95,25.73
1/29/2019,17.01,38.65,15.49,22.39,123.98,12.57,15.4,14.88,126.52,11.16,25.85
1/30/2019,17,38.82,15.6,22.56,124.69,12.63,15.61,15.05,128.3464,11.4,25.56
1/31/2019,16.92,38.69,15.52,22.43,124.75,12.64,15.59,15.05,127.62,11.35,25.28
2/1/2019,16.93,38.75,15.66,22.56,124.5,12.62,15.46,14.92,127.65,11.63,24.43
2/4/2019,17.12,38.85,15.67,22.6,123.96,12.56,15.42,14.88,127.61,11.5,23.79
